"Div","Date","Time","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","Referee","HS","AS","HST","AST","HF","AF","HC","AC","HY","AY","HR","AR","B365H","B365D","B365A","B365>2.5","B365<2.5","B365CH","B365CD","B365CA","SourceFile"
"E0",2019-10-19,15:00:00,"Tottenham","Watford",1,1,"D",0,1,"A","C Kavanagh",12,7,2,2,5,9,11,2,4,3,0,0,1.4,5,7.5,1.53,2.5,1.45,4.5,7,"E0_1920.csv"
"E0",2019-10-19,15:00:00,"Wolves","Southampton",1,1,"D",0,0,"D","P Bankes",4,14,1,5,10,17,1,3,3,2,0,0,1.8,3.6,4.5,2.1,1.72,2,3.25,4,"E0_1920.csv"
"E0",2019-10-19,17:30:00,"Crystal Palace","Man City",0,2,"A",0,2,"A","A Taylor",7,21,2,10,8,10,1,8,1,1,0,0,12,7,1.22,1.44,2.75,11,8,1.2,"E0_1920.csv"
"E0",2019-10-20,16:30:00,"Man United","Liverpool",1,1,"D",1,0,"H","M Atkinson",7,10,2,4,6,14,3,1,0,1,0,0,5.25,3.8,1.65,1.72,2.1,4,3.6,1.9,"E0_1920.csv"
"E0",2019-10-21,20:00:00,"Sheffield United","Arsenal",1,0,"H",1,0,"H","M Dean",8,9,2,3,10,12,7,12,4,4,0,0,3.9,3.75,1.9,1.66,2.2,3.6,3.6,2,"E0_1920.csv"
"E0",2019-10-25,20:00:00,"Southampton","Leicester",0,9,"A",0,5,"A","A Marriner",6,25,3,15,3,12,2,7,0,0,1,0,3.1,3.4,2.3,2,1.8,3.1,3.4,2.3,"E0_1920.csv"
"E0",2019-10-26,12:30:00,"Man City","Aston Villa",3,0,"H",0,0,"D","G Scott",25,11,9,5,10,5,13,7,1,1,1,0,1.08,11,26,1.22,4.33,1.08,12,21,"E0_1920.csv"
"E0",2019-10-26,15:00:00,"Brighton","Everton",3,2,"H",1,1,"D","A Madley",8,10,4,6,12,12,0,5,2,1,0,0,2.9,3.25,2.5,2,1.8,2.62,3.25,2.75,"E0_1920.csv"
"E0",2019-10-26,15:00:00,"Watford","Bournemouth",0,0,"D",0,0,"D","M Dean",7,15,3,5,14,8,5,10,5,3,0,0,2.15,3.6,3.25,1.66,2.2,2.25,3.5,3.1,"E0_1920.csv"
"E0",2019-10-26,15:00:00,"West Ham","Sheffield United",1,1,"D",1,0,"H","D Coote",12,10,4,4,7,10,10,4,2,2,0,0,2.1,3.5,3.5,1.9,1.9,2.2,3.4,3.25,"E0_1920.csv"
"E0",2019-10-26,17:30:00,"Burnley","Chelsea",2,4,"A",0,2,"A","M Oliver",13,16,5,7,7,8,5,6,3,2,0,0,4.5,4,1.72,1.66,2.2,4.75,4.1,1.66,"E0_1920.csv"
"E0",2019-10-27,14:00:00,"Newcastle","Wolves",1,1,"D",1,0,"H","K Friend",13,13,2,5,8,15,3,6,2,2,1,0,3,3.1,2.55,2.5,1.53,3.4,3,2.35,"E0_1920.csv"
